"Status","Name","Duration in ms","Description"
"passed","testcase.test_all.Test_all#test_Default_condition_query","6096","<font color='red'>当前执行时间: </font> 2021-12-20 14:17:16<Br/><font color='red'>用例编号（test_id）: </font> test_Default_condition_query_32<Br/><font color='red'>模块（module）: </font>02 默认条件查询<Br/><font color='red'>标题_名称（name）: </font>32 诚信记录生效清单-多次获评同一级别人员<Br/><font color='red'>优先级（priority）: </font>高<Br/><font color='red' >URL: </font>https://platform.giiatop.com/sinc/#/SincerityCMS/IntegrityRecordsEffectiveList<Br/><font color='red' >前置条件（preposition）: </font>前置<Br/><font color='red' >预期结果（expected_result）: </font>预期结果<Br/><font color='red' >实际结果（actual_result）: </font>通过<Br/><font color='red' >操作详情（assert_fail_hint）: </font>操作详情<Br/><font color='red' >定位失败原因（location_fail_hint）: </font>定位失败原因<Br/><font color='red' >操作的数据（data）: </font>{
 ""nameORnumber"": """"

}<Br/>"
"passed","testcase.test_all.Test_all#test_Default_condition_query","5295","<font color='red'>当前执行时间: </font> 2021-12-20 14:18:11<Br/><font color='red'>用例编号（test_id）: </font> test_Default_condition_query_42<Br/><font color='red'>模块（module）: </font>02 默认条件查询<Br/><font color='red'>标题_名称（name）: </font>42 诚信级别查询次数<Br/><font color='red'>优先级（priority）: </font>高<Br/><font color='red' >URL: </font>https://platform.giiatop.com/sinc/#/SincerityCMS/NumberIntegrity<Br/><font color='red' >前置条件（preposition）: </font>前置<Br/><font color='red' >预期结果（expected_result）: </font>预期结果<Br/><font color='red' >实际结果（actual_result）: </font>通过<Br/><font color='red' >操作详情（assert_fail_hint）: </font>操作详情<Br/><font color='red' >定位失败原因（location_fail_hint）: </font>定位失败原因<Br/><font color='red' >操作的数据（data）: </font>{
 ""nameORnumber"": """"

}<Br/>"
"passed","testcase.test_all.Test_all#test_Default_condition_query","6472","<font color='red'>当前执行时间: </font> 2021-12-20 14:14:22<Br/><font color='red'>用例编号（test_id）: </font> test_Default_condition_query_02<Br/><font color='red'>模块（module）: </font>02 默认条件查询<Br/><font color='red'>标题_名称（name）: </font>02 离职人员管理<Br/><font color='red'>优先级（priority）: </font>高<Br/><font color='red' >URL: </font>https://platform.giiatop.com/sinc/#/SincerityCMS/LeaversManage<Br/><font color='red' >前置条件（preposition）: </font>前置<Br/><font color='red' >预期结果（expected_result）: </font>预期结果<Br/><font color='red' >实际结果（actual_result）: </font>通过<Br/><font color='red' >操作详情（assert_fail_hint）: </font>操作详情<Br/><font color='red' >定位失败原因（location_fail_hint）: </font>定位失败原因<Br/><font color='red' >操作的数据（data）: </font>{
 ""nameORnumber"": """"

}<Br/>"
"passed","testcase.test_all.Test_all#test_Default_condition_query","6256","<font color='red'>当前执行时间: </font> 2021-12-20 14:15:19<Br/><font color='red'>用例编号（test_id）: </font> test_Default_condition_query_11<Br/><font color='red'>模块（module）: </font>02 默认条件查询<Br/><font color='red'>标题_名称（name）: </font>11 人员流动统计-离职人员去向统计<Br/><font color='red'>优先级（priority）: </font>高<Br/><font color='red' >URL: </font>https://platform.giiatop.com/sinc/#/SincerityCMS/PersonFlowStatisticsFrame<Br/><font color='red' >前置条件（preposition）: </font>前置<Br/><font color='red' >预期结果（expected_result）: </font>预期结果<Br/><font color='red' >实际结果（actual_result）: </font>通过<Br/><font color='red' >操作详情（assert_fail_hint）: </font>操作详情<Br/><font color='red' >定位失败原因（location_fail_hint）: </font>定位失败原因<Br/><font color='red' >操作的数据（data）: </font>{
 ""nameORnumber"": """"

}<Br/>"
"passed","testcase.test_all.Test_all#test_Default_condition_query","5301","<font color='red'>当前执行时间: </font> 2021-12-20 14:16:48<Br/><font color='red'>用例编号（test_id）: </font> test_Default_condition_query_27<Br/><font color='red'>模块（module）: </font>02 默认条件查询<Br/><font color='red'>标题_名称（name）: </font>27 人员诚信级别分布<Br/><font color='red'>优先级（priority）: </font>高<Br/><font color='red' >URL: </font>https://platform.giiatop.com/sinc/#/SincerityCMS/StaffIntegrityLevelDistribution<Br/><font color='red' >前置条件（preposition）: </font>前置<Br/><font color='red' >预期结果（expected_result）: </font>预期结果<Br/><font color='red' >实际结果（actual_result）: </font>通过<Br/><font color='red' >操作详情（assert_fail_hint）: </font>操作详情<Br/><font color='red' >定位失败原因（location_fail_hint）: </font>定位失败原因<Br/><font color='red' >操作的数据（data）: </font>{
 ""nameORnumber"": """"

}<Br/>"
"passed","testcase.test_all.Test_all#test_Default_condition_query","6097","<font color='red'>当前执行时间: </font> 2021-12-20 14:14:44<Br/><font color='red'>用例编号（test_id）: </font> test_Default_condition_query_05<Br/><font color='red'>模块（module）: </font>02 默认条件查询<Br/><font color='red'>标题_名称（name）: </font>05 培训记录状态-导入记录<Br/><font color='red'>优先级（priority）: </font>高<Br/><font color='red' >URL: </font>https://platform.giiatop.com/sinc/#/SincerityCMS/IntegrityRecordStatus<Br/><font color='red' >前置条件（preposition）: </font>前置<Br/><font color='red' >预期结果（expected_result）: </font>预期结果<Br/><font color='red' >实际结果（actual_result）: </font>通过<Br/><font color='red' >操作详情（assert_fail_hint）: </font>操作详情<Br/><font color='red' >定位失败原因（location_fail_hint）: </font>定位失败原因<Br/><font color='red' >操作的数据（data）: </font>{
 ""nameORnumber"": """"

}<Br/>"
"passed","testcase.test_all.Test_all#test_Default_condition_query","5945","<font color='red'>当前执行时间: </font> 2021-12-20 14:16:20<Br/><font color='red'>用例编号（test_id）: </font> test_Default_condition_query_22<Br/><font color='red'>模块（module）: </font>02 默认条件查询<Br/><font color='red'>标题_名称（name）: </font>22 人员流动汇总统计-离入职人员对比汇总统计<Br/><font color='red'>优先级（priority）: </font>高<Br/><font color='red' >URL: </font>https://platform.giiatop.com/sinc/#/SincerityCMS/PersonFlowSummaryStatistics<Br/><font color='red' >前置条件（preposition）: </font>前置<Br/><font color='red' >预期结果（expected_result）: </font>预期结果<Br/><font color='red' >实际结果（actual_result）: </font>通过<Br/><font color='red' >操作详情（assert_fail_hint）: </font>操作详情<Br/><font color='red' >定位失败原因（location_fail_hint）: </font>定位失败原因<Br/><font color='red' >操作的数据（data）: </font>{
 ""nameORnumber"": """"

}<Br/>"
"passed","testcase.test_all.Test_all#test_OD_inquire","9779","<font color='red'>当前执行时间: </font> 2021-12-20 14:13:51<Br/><font color='red'>用例编号（test_id）: </font> test_OD_inquire_03<Br/><font color='red'>模块（module）: </font>01 个信息查询<Br/><font color='red'>标题_名称（name）: </font>03 单个查询:离职-身份证<Br/><font color='red'>优先级（priority）: </font>高<Br/><font color='red' >URL: </font>https://platform.giiatop.com/sinc/#/SincerityCMS/PersonInfoInquiry<Br/><font color='red' >前置条件（preposition）: </font>前置<Br/><font color='red' >预期结果（expected_result）: </font>预期结果<Br/><font color='red' >实际结果（actual_result）: </font>通过<Br/><font color='red' >操作详情（assert_fail_hint）: </font>操作详情<Br/><font color='red' >定位失败原因（location_fail_hint）: </font>定位失败原因<Br/><font color='red' >操作的数据（data）: </font>{
 ""name"": ""周玉泉"",
 ""type"": ""身份证"",
 ""number"": ""362130197312312425""
}<Br/>"
"passed","testcase.test_all.Test_all#test_Default_condition_query","5387","<font color='red'>当前执行时间: </font> 2021-12-20 14:15:46<Br/><font color='red'>用例编号（test_id）: </font> test_Default_condition_query_16<Br/><font color='red'>模块（module）: </font>02 默认条件查询<Br/><font color='red'>标题_名称（name）: </font>16 在职/离职执业证查询<Br/><font color='red'>优先级（priority）: </font>高<Br/><font color='red' >URL: </font>https://platform.giiatop.com/sinc/#/SincerityCMS/LicenseInquiry<Br/><font color='red' >前置条件（preposition）: </font>前置<Br/><font color='red' >预期结果（expected_result）: </font>预期结果<Br/><font color='red' >实际结果（actual_result）: </font>通过<Br/><font color='red' >操作详情（assert_fail_hint）: </font>操作详情<Br/><font color='red' >定位失败原因（location_fail_hint）: </font>定位失败原因<Br/><font color='red' >操作的数据（data）: </font>{
 ""nameORnumber"": """"

}<Br/>"
"passed","testcase.test_all.Test_all#test_Default_condition_query","5356","<font color='red'>当前执行时间: </font> 2021-12-20 14:17:33<Br/><font color='red'>用例编号（test_id）: </font> test_Default_condition_query_35<Br/><font color='red'>模块（module）: </font>02 默认条件查询<Br/><font color='red'>标题_名称（name）: </font>35 被解约人员查询<Br/><font color='red'>优先级（priority）: </font>高<Br/><font color='red' >URL: </font>https://platform.giiatop.com/sinc/#/SincerityCMS/CancelledPersonInquiry<Br/><font color='red' >前置条件（preposition）: </font>前置<Br/><font color='red' >预期结果（expected_result）: </font>预期结果<Br/><font color='red' >实际结果（actual_result）: </font>通过<Br/><font color='red' >操作详情（assert_fail_hint）: </font>操作详情<Br/><font color='red' >定位失败原因（location_fail_hint）: </font>定位失败原因<Br/><font color='red' >操作的数据（data）: </font>{
 ""nameORnumber"": """"

}<Br/>"
